,_id,comment,download,follow,name,num_score,score,tags,volume,comment_ori,download_ori,follow_ori,num_score_ori,volume_ori
1268,5bf683fafe8e1d06a4301661,179.0,6.2,1804.0,爱搜云,73.0,3.6,"['搜索', '网盘', '资源']",13.02,179,6.2万,1804,73,13.02M
1269,5bf68400fe8e1d06a4301662,869.0,6.2,1591.0,K9浏览器,314.0,4.3,"['浏览器', '酷友作品']",24.83,869,6.2万,1591,314,24.83M
1270,5bf68404fe8e1d06a4301663,18.0,6.3,74.0,天籁K歌,13.0,3.7,"['K歌', '录歌', '录音', '唱歌', 'KTV']",28.54,18,6.3万,74,13,28.54M
1271,5bf6840bfe8e1d06a4301664,46.0,6.3,78.0,PP体育,27.0,3.0,"['在线视频', '电视直播', '男性', '体育']",47.53,46,6.3万,78,27,47.53M
1272,5bf68412fe8e1d06a4301665,490.0,6.3,2273.0,按键屏蔽,112.0,4.7,"['按键屏蔽', '按键', '酷友作品']",0.085126953125,490,6.3万,2273,112,87.17K
1273,5bf68418fe8e1d06a4301666,324.0,6.3,760.0,星尘浏览器HD,154.0,4.4,['浏览器'],8.71,324,6.3万,760,154,8.71M
1274,5bf6841ffe8e1d06a4301667,243.0,6.3,244.0,人民日报,440.0,2.6,"['新闻', '媒体']",26.73,243,6.3万,244,440,26.73M
1275,5bf68423fe8e1d06a4301668,118.0,6.3,93.0,GO联系人,69.0,3.8,"['联系人', '归属地']",4.38,118,6.3万,93,69,4.38M
1276,5bf6842afe8e1d06a4301669,120.0,6.3,97.0,广西移动和掌桂,85.0,2.6,"['移动', '营业厅', '广西', '手机', '服务']",19.51,120,6.3万,97,85,19.51M
1277,5bf68431fe8e1d06a430166a,81.0,6.3,138.0,雅虎邮箱:Yahoo Mail,78.0,2.9,"['邮箱', 'yahoo', '雅虎', '邮件', 'email']",17.98,81,6.3万,138,78,17.98M
1278,5bf68436fe8e1d06a430166b,73.0,6.3,361.0,趣满满,31.0,3.8,"['电影票', '订票', '比价']",18.16,73,6.3万,361,31,18.16M
1279,5bf6843cfe8e1d06a430166c,46.0,6.3,316.0,聚看影院,12.0,3.6,[],8.34,46,6.3万,316,12,8.34M
1280,5bf68443fe8e1d06a430166d,135.0,6.3,2008.0,WiFi Service,80.0,4.3,['wifi'],3.41,135,6.3万,2008,80,3.41M
1281,5bf68447fe8e1d06a430166e,168.0,6.4,204.0,新浪微博4G版,374.0,2.0,"['微博', '中国移动']",61.08,168,6.4万,204,374,61.08M
1282,5bf6844afe8e1d06a430166f,244.0,6.4,159.0,360天气,393.0,3.1,['天气'],10.65,244,6.4万,159,393,10.65M
1283,5bf68450fe8e1d06a4301670,71.0,6.4,400.0,丰趣海淘,58.0,3.8,"['海购', '商城', '海淘']",15.35,71,6.4万,400,58,15.35M
1284,5bf68457fe8e1d06a4301671,273.0,6.4,2545.0,快点投屏,164.0,4.3,[],10.25,273,6.4万,2545,164,10.25M
1285,5bf6845bfe8e1d06a4301672,237.0,6.4,2884.0,全局复制xposed版,49.0,4.4,['xposed'],1.28,237,6.4万,2884,49,1.28M
1286,5bf68462fe8e1d06a4301673,383.0,6.4,3446.0,Dodol 待办事项和习惯管理,298.0,4.7,"['GTD', '效率', '备忘录', '日程', 'to-do', '酷友作品']",2.96,383,6.4万,3446,298,2.96M
1287,5bf68469fe8e1d06a4301674,116.0,6.4,480.0,有调,129.0,2.9,"['购物', '文青', '逼格']",28.28,116,6.4万,480,129,28.28M
1288,5bf6846dfe8e1d06a4301675,56.0,6.4,134.0,民生银行手机银行,28.0,3.6,['银行'],62.98,56,6.4万,134,28,62.98M
1289,5bf68471fe8e1d06a4301676,139.0,6.4,99.0,海豚浏览器(炫风版),87.0,2.4,"['搜索', '网址导航', '网址', '浏览器', '上网']",12.17,139,6.4万,99,87,12.17M
1290,5bf68478fe8e1d06a4301677,207.0,6.4,3625.0,通知通知,312.0,4.7,"['提醒', '备忘', '通知栏', '酷友作品']",0.01,207,6.4万,3625,312,0.01M
1291,5bf6847ffe8e1d06a4301678,52.0,6.4,246.0,手机克隆,24.0,3.7,"['设备', '迁移', '数据']",11.71,52,6.4万,246,24,11.71M
1292,5bf68487fe8e1d06a4301679,39.0,6.4,83.0,阿里通信,72.0,1.9,['亲心'],7.07,39,6.4万,83,72,7.07M
1293,5bf6848dfe8e1d06a430167a,147.0,6.4,1354.0,手机性能排行,75.0,4.4,[],6.12,147,6.4万,1354,75,6.12M
1294,5bf68494fe8e1d06a430167b,91.0,6.5,240.0,测网速,70.0,2.9,"['效率', '网速测试', '系统工具', '便捷生活', '网络']",12.79,91,6.5万,240,70,12.79M
1295,5bf68499fe8e1d06a430167c,188.0,6.5,1753.0,坂坂—萌化你的Android,76.0,4.7,[],38.76,188,6.5万,1753,76,38.76M
1296,5bf6849efe8e1d06a430167d,554.0,6.5,2436.0,悬浮助手Xposed,77.0,4.5,"['悬浮球', 'xposed', '虚拟助手', '虚拟按键']",1.62,554,6.5万,2436,77,1.62M
1297,5bf684a3fe8e1d06a430167e,40.0,6.5,82.0,万兴神拍手:PowerCam,15.0,4.1,"['拍照', '摄影']",27.08,40,6.5万,82,15,27.08M
1298,5bf684a9fe8e1d06a430167f,110.0,6.5,291.0,上海交通卡,32.0,3.6,['公交卡充值'],35.7,110,6.5万,291,32,35.70M
1299,5bf684affe8e1d06a4301680,158.0,6.5,274.0,ZERO桌面,82.0,3.0,"['启动器', 'launcher', '桌面']",1.99,158,6.5万,274,82,1.99M
1300,5bf684b3fe8e1d06a4301681,914.0,6.6,2197.0,华为主题 XIN EMUI8.0,175.0,4.7,['emui主题'],26.68,914,6.6万,2197,175,26.68M
1301,5bf684bbfe8e1d06a4301682,316.0,6.6,1276.0,X分身,51.0,3.4,"['双开', '微信双开', '微信分身版', '多开', '隐藏应用', '双开软件', '双开大师', '双开助手', '分身大师', '微信伪装']",16.71,316,6.6万,1276,51,16.71M
1302,5bf684c2fe8e1d06a4301683,46.0,6.6,931.0,开发者头条,57.0,3.8,"['IT', '互联网', '开发']",14.64,46,6.6万,931,57,14.64M
1303,5bf684c8fe8e1d06a4301684,181.0,6.6,163.0,沃钱包,66.0,2.3,"['支付', '联通']",28.8,181,6.6万,163,66,28.80M
1304,5bf684cffe8e1d06a4301685,177.0,6.6,2344.0,民萌,131.0,4.6,"['动漫', '二次元', '插画', '萌图', 'P站', 'pixiv', 'saucenao', 'yande', 'konachan', 'zerochan', '壁纸', '宅', '图库']",3.33,177,6.6万,2344,131,3.33M
1305,5bf684d3fe8e1d06a4301686,460.0,6.6,1511.0,Next ZUK - ZUK工具箱,49.0,4.4,[],2.06,460,6.6万,1511,49,2.06M
1306,5bf684d8fe8e1d06a4301687,73.0,6.7,1626.0,Photoshop Mix图片融合,44.0,4.2,"['adobe', '创作', '抠图', 'ps']",47.88,73,6.7万,1626,44,47.88M
1307,5bf684ddfe8e1d06a4301688,188.0,6.7,2595.0,坏坏猫搜索,146.0,4.7,[],11.63,188,6.7万,2595,146,11.63M
1308,5bf684e4fe8e1d06a4301689,980.0,6.7,2755.0,按摩棒（加湿器）（震动棒）,99.0,4.6,"['按摩', '解压', '放松', '减压', '震动', '振动', '按摩']",2.27,980,6.7万,2755,99,2.27M
1309,5bf684eafe8e1d06a430168a,33.0,6.7,589.0,左右手,11.0,4.4,"['蓝牙助手', '文件传输', '文件共享']",4.95,33,6.7万,589,11,4.95M
1310,5bf684f0fe8e1d06a430168b,56.0,6.7,101.0,兴业银行,23.0,3.1,"['手机网银', '银行']",80.96,56,6.7万,101,23,80.96M
1311,5bf684f5fe8e1d06a430168c,31.0,6.7,131.0,好大夫在线,28.0,3.4,"['医生', '健康', '咨询', '医疗', '预约挂号', '病历管理', '医院', '健康管理', '问诊咨询']",50.85,31,6.7万,131,28,50.85M
1312,5bf684fdfe8e1d06a430168d,217.0,6.7,411.0,Opera Mini beta web browser,140.0,4.3,"['Opera', '浏览器', '网络', '测试']",7.37,217,6.7万,411,140,7.37M
1313,5bf68502fe8e1d06a430168e,541.0,6.8,968.0,AreYouBatteryOk (电池损耗检测),83.0,3.0,[],1.97,541,6.8万,968,83,1.97M
1314,5bf68508fe8e1d06a430168f,754.0,6.8,5237.0,快速打开活动,220.0,4.6,['快捷启动'],2.71,754,6.8万,5237,220,2.71M
1315,5bf68510fe8e1d06a4301690,265.0,6.8,2142.0,一闪,98.0,3.6,"['动画', 'GIF']",35.71,265,6.8万,2142,98,35.71M
1316,5bf68517fe8e1d06a4301691,326.0,6.8,1457.0,漫画喵,128.0,4.1,"['漫画', '日漫', '免费', '国漫']",19.44,326,6.8万,1457,128,19.44M
1317,5bf6851dfe8e1d06a4301692,350.0,6.8,606.0,CC归属地,92.0,3.3,"['归属地', '拨号']",1.27,350,6.8万,606,92,1.27M
1318,5bf68523fe8e1d06a4301693,219.0,6.8,571.0,Flyme社区,134.0,3.3,"['魅族', 'Flyme', '社区', '论坛']",7.79,219,6.8万,571,134,7.79M
1319,5bf68527fe8e1d06a4301694,51.0,6.8,134.0,文件管理器,30.0,3.8,['文件管理'],6.09,51,6.8万,134,30,6.09M
1320,5bf6852efe8e1d06a4301695,179.0,6.8,369.0,华硕路由器:ASUS Router,35.0,3.6,"['华硕', '路由器', '配置']",21.43,179,6.8万,369,35,21.43M
1321,5bf68535fe8e1d06a4301696,45.0,6.8,1235.0,开源中国,50.0,3.7,"['开源', '程序员']",17.4,45,6.8万,1235,50,17.40M
1322,5bf6853bfe8e1d06a4301697,63.0,6.8,154.0,麦当劳优惠券完美版,39.0,3.7,"['麦当劳', '购物', '美食']",2.23,63,6.8万,154,39,2.23M
1323,5bf68542fe8e1d06a4301698,242.0,6.9,153.0,永安行,47.0,3.6,"['公共自行车', '共享单车', '单车', '城市自行车']",25.33,242,6.9万,153,47,25.33M
1324,5bf68548fe8e1d06a4301699,175.0,6.9,436.0,小米社区,198.0,2.3,"['社区', '小米']",18.44,175,6.9万,436,198,18.44M
1325,5bf6854efe8e1d06a430169a,228.0,6.9,461.0,果壳轻系统GEAK OS,277.0,2.8,"['启动器', 'launcher', '桌面']",3.89,228,6.9万,461,277,3.89M
1326,5bf68555fe8e1d06a430169b,132.0,6.9,551.0,果壳相机,96.0,4.1,"['相机', '摄影']",1.27,132,6.9万,551,96,1.27M
1327,5bf6855cfe8e1d06a430169c,190.0,6.9,2463.0,Copas,317.0,4.6,"['指南针', '户外', '酷友作品']",0.03,190,6.9万,2463,317,0.03M
1328,5bf68564fe8e1d06a430169d,178.0,6.9,165.0,咪咕视频,52.0,2.6,[],69.83,178,6.9万,165,52,69.83M
1329,5bf68569fe8e1d06a430169e,51.0,6.9,104.0,360行车记录仪,89.0,2.8,"['行车记录仪', '碰瓷']",34.96,51,6.9万,104,89,34.96M
1330,5bf6856efe8e1d06a430169f,88.0,6.9,576.0,网极SWF & Flash播放器 - 支持Android 8.0,23.0,3.4,[],39.86,88,6.9万,576,23,39.86M
1331,5bf68575fe8e1d06a43016a0,122.0,6.9,277.0,当当云阅读,107.0,4.1,"['社区', '小说', '电子书']",39.56,122,6.9万,277,107,39.56M
1332,5bf6857bfe8e1d06a43016a1,797.0,7.0,3119.0,微光,247.0,4.5,[],33.87,797,7.0万,3119,247,33.87M
1333,5bf68582fe8e1d06a43016a2,49.0,7.0,833.0,企查查企业信用查询,36.0,3.9,"['公司', '企业', '注册资金', '法人', '股东', '企查查']",27.43,49,7.0万,833,36,27.43M
1334,5bf68589fe8e1d06a43016a3,361.0,7.0,1384.0,盖特,126.0,3.5,"['浏览器', '网页', '盖特', 'get浏览器', '搜索引擎']",35.4,361,7.0万,1384,126,35.40M
1335,5bf68590fe8e1d06a43016a4,176.0,7.0,1006.0,AVL Pro,143.0,4.1,"['安全防护', '安天']",12.52,176,7.0万,1006,143,12.52M
1336,5bf68596fe8e1d06a43016a5,675.0,7.0,3441.0,简单读书,363.0,4.6,"['阅读器', 'txt']",0.99,675,7.0万,3441,363,0.99M
1337,5bf6859cfe8e1d06a43016a6,24.0,7.0,74.0,玩美相机,23.0,3.4,"['自拍', '美容', '相机', '美化', '相框', '完美相机', 'YouCam-Perfect']",40.32,24,7.0万,74,23,40.32M
1338,5bf685a2fe8e1d06a43016a7,21.0,7.0,70.0,优购时尚商城,19.0,3.5,"['电商', '购物', '百丽', 'b2c']",24.88,21,7.0万,70,19,24.88M
1339,5bf685a8fe8e1d06a43016a8,252.0,7.1,480.0,欢乐书客,95.0,2.8,"['小说', '网文', '轻小说']",29.25,252,7.1万,480,95,29.25M
1340,5bf685affe8e1d06a43016a9,143.0,7.1,1516.0,猫耳FM,92.0,4.0,"['动漫', '宅', '二次元']",36.36,143,7.1万,1516,92,36.36M
1341,5bf685b6fe8e1d06a43016aa,175.0,7.1,889.0,CSDN,268.0,2.2,"['IT', '新闻', '代码', '程序']",8.73,175,7.1万,889,268,8.73M
1342,5bf685bcfe8e1d06a43016ab,132.0,7.1,955.0,蜗牛睡眠,38.0,3.2,['睡眠'],84.39,132,7.1万,955,38,84.39M
1343,5bf685c1fe8e1d06a43016ac,38.0,7.1,88.0,神州租车,135.0,2.0,"['租车', '商务租车']",39.3,38,7.1万,88,135,39.30M
1344,5bf685c8fe8e1d06a43016ad,235.0,7.1,384.0,优衣库,708.0,3.2,['电商'],62.34,235,7.1万,384,708,62.34M
