,code,name,industry,area,pe,outstanding,totals,totalAssets,liquidAssets,fixedAssets,reserved,reservedPerShare,esp,bvps,pb,timeToMarket,undp,perundp,rev,profit,gpr,npr,holders
3229,300736,百华悦邦,通信设备,北京,50.52,0.2,0.82,46289.73,35018.37,601.85,21048.35,2.58,0.23600000000000002,4.87,4.9,20180109,9643.28,1.18,-40.4,-8.02,36.25,9.19,9271.0
3230,000547,航天发展,通信设备,福建,36.04,9.71,14.3,762800.25,433991.44,61130.66,426306.25,2.98,0.11699999999999999,3.88,2.18,19931130,109795.2,0.77,13.84,44.85,46.33,16.78,110988.0
3231,600756,浪潮软件,软件服务,山东,113.97,3.24,3.24,277748.53,169936.48,17868.27,105005.57,3.24,0.08800000000000001,6.62,3.03,19960923,68329.31,2.11,-13.26,100.59,51.19,7.29,77818.0
3232,603920,世运电路,元器件,广东,27.41,1.28,4.02,320809.09,224527.16,75294.61,131502.31,3.27,0.24100000000000002,6.06,2.18,20170426,63977.93,1.59,11.47,-2.19,21.06,9.62,33427.0
3233,300327,中颖电子,半导体,上海,31.87,2.29,2.31,98619.13,92872.5,2811.86,33262.51,1.44,0.34700000000000003,3.33,6.65,20120613,16876.61,0.73,22.31,29.1,42.68,20.99,26000.0
3234,000792,盐湖股份,化工原料,青海,0.0,27.5,27.86,7937763.0,1420472.13,5108401.0,947820.81,3.4,-0.423,6.27,1.34,19970904,310878.97,1.12,54.71,-125.67,25.7,-15.05,95761.0
3235,600879,航天电子,航空,湖北,41.5,24.13,27.19,2426301.0,1856315.25,377474.03,478144.19,1.76,0.08199999999999999,4.28,1.6,19951115,391060.5,1.44,8.73,7.13,15.8,3.69,154658.0
3236,300277,海联讯,软件服务,深圳,0.0,3.34,3.35,65470.65,60830.7,1116.85,8288.05,0.25,-0.005,1.4,4.87,20111123,3258.66,0.1,-19.86,73.78,25.74,-2.95,17698.0
3237,300373,扬杰科技,半导体,江苏,34.1,2.33,4.72,348924.47,200846.36,84148.67,100989.05,2.14,0.33,5.02,4.49,20140123,84216.86,1.78,27.75,15.17,33.15,17.76,19700.0
3238,002106,莱宝高科,元器件,深圳,40.09,7.04,7.06,473735.5,314010.09,121626.9,203799.8,2.89,0.078,5.2,1.21,20070112,63486.38,0.9,17.82,-13.15,11.33,2.83,58627.0
3239,002474,榕基软件,软件服务,福建,96.47,4.69,6.22,250084.17,187084.13,2638.58,36935.85,0.59,0.040999999999999995,2.32,3.37,20100915,38582.78,0.62,15.95,21.27,30.44,7.29,87542.0
3240,600257,大湖股份,渔业,湖南,135.21,4.27,4.81,175615.84,96374.45,21681.75,60026.3,1.25,0.017,2.69,1.74,20000612,16695.77,0.35,2.19,6.69,24.6,2.01,35072.0
3241,600775,南京熊猫,通信设备,江苏,51.14,6.72,9.14,608672.81,472935.81,83294.03,146404.3,1.6,0.055999999999999994,3.67,1.56,19961118,71776.67,0.79,13.82,13.67,14.54,2.56,36510.0
