cat_name,com_id,com_logo_archive,com_name,com_prov,com_scope_id,current	,invse_currency_id,invse_day,invse_detail_money,invse_guess_particulars,invse_month,invse_round_id,invse_year,round
企业服务,531,archive/531.png,雅座,北京,126,,1,15,20000,15.00,6,4,2015,C轮
本地生活,54137,226fda69bb7d628e281e3786271ff87e.png,库桥鸡排,北京,70,,1,1,30000,15.00,12,2,2016,A轮
文化娱乐,53300,50b6a0673cc4207f7e177f024828ddbf.jpg,中影游,北京,115,,1,13,10000,15.00,6,1,2016,天使轮
本地生活,15324,b1271cd2490e62b0516eb8d8dbfe8c77.png,59store,上海,70,,1,1,--,15.00,8,11,2017,战略投资
医疗健康,49604,121d11fbcf7b51bd38912c07087227a2.jpg,北京宝岛妇产医院,北京,47,,1,26,15000,15.00,12,2,2016,A轮
房产服务,10438,9fb928bb03eca48271d241823c776676.png,蘑菇租房,上海,38,,2,30,3000,14.95,12,19,2017,C+轮
医疗健康,30928,35fd779f9470d5adca7575e0c55eaaaf.png,康龙化成,北京,47,,2,16,28000,14.85,12,11,2015,战略投资
企业服务,24754,a170002e98344c25a66499f74142bfe5.png,上上签,浙江,126,,1,31,35800,14.32,8,4,2018,C轮
医疗健康,33352550,7f894d568e11cb320749c4b98780d9a2.png,加科思,北京,47,,2,30,5500,14.30,8,4,2018,C轮
医疗健康,13731,archive/13731.jpg,杏仁医生,上海,47,,1,14,20000,14.00,7,3,2015,B轮
医疗健康,56721,210347b4478682de3aa65f702f83f21d.png,瑞博生物,江苏,47,,1,1,--,13.50,12,16,2017,B+轮
硬件,20052,0ad0225ba82f8aeef7ccc0cda418527f.png,李群自动化,广东,103,,1,15,10000,13.50,10,4,2018,C轮
医疗健康,58457,95c37c93392e1d5daacf1b9b725f768b.png,天广实,北京,47,,1,22,27000,13.50,1,3,2017,B轮
工具软件,7089,archive/7089.png,墨迹天气,北京,161,,1,23,--,13.50,5,5,2016,D轮
硬件,13828,7929bde96e78e873824e3ff2ceeca7e4.jpg,云丁科技,北京,103,,1,11,27000,13.50,7,19,2018,C+轮
企业服务,49011,1f52b8103cb9ea9aa3e0412bfa9d9902.png,佐助金服,浙江,126,,1,20,20000,13.50,9,2,2017,A轮
金融,8872,f288e8a723efb60d03ec69133cb64d98.png,银承库,北京,12,,1,6,26500,13.25,7,16,2018,B+轮
文化娱乐,79057,7ad667f8bcc77933cec3ed9bc86e6abd.png,M17 Entertainment,台湾,115,,2,3,4000,13.00,8,2,2017,A轮
广告营销,1678,archive/1678.png,时趣互动,北京,95,,2,31,5850,13.00,8,5,2015,D轮
